Time (s),Average BPM
201.189,150.673
201.570,150.749
201.954,149.435
202.354,147.849
202.772,146.155
203.195,143.734
203.632,141.497
204.076,137.893
204.526,135.805
204.977,134.303
205.444,133.615
205.917,133.417
206.374,133.609
206.825,134.086
207.275,134.944
207.715,135.803
208.146,136.694
208.576,136.775
209.003,133.840
209.424,133.901
209.844,129.775
210.278,126.388
210.748,123.432
211.354,120.152
212.007,114.547
212.593,111.940
213.139,109.817
213.702,108.544
214.235,109.113
214.738,109.490
215.242,109.490
215.758,109.062
216.334,109.371
216.964,104.623
217.550,101.161
218.116,98.438
218.921,94.872
219.576,95.713
220.192,95.430
220.811,93.925
221.424,95.092
222.030,98.198
222.629,110.400
223.354,110.022
224.053,109.161
224.507,107.915
224.805,109.027
225.546,106.491
226.205,106.684
226.818,107.331
227.570,88.081
228.281,88.454
228.940,86.556
229.596,84.383
230.315,84.235
231.086,83.026
231.811,81.127
232.573,80.380
233.364,82.294
234.136,84.808
234.831,82.945
235.450,81.881
236.079,82.606
236.940,84.570
237.781,85.252
238.523,81.889
239.179,78.578
239.838,79.780
240.656,81.196
241.487,80.846
242.255,79.433
242.993,79.368
243.758,80.762
244.493,81.101
245.156,81.150
245.877,81.046
246.682,81.501
247.447,81.715
248.192,82.047
248.927,84.165
249.649,87.136
250.295,91.494
250.907,94.152
251.536,95.746
252.156,97.940
252.735,97.599
253.325,98.183
253.960,95.377
254.556,92.777
255.189,90.142
255.983,115.183
256.788,115.970
257.579,116.040
257.801,115.394
258.245,115.394
258.841,116.846
259.434,119.322
260.103,121.284
260.791,94.354
261.427,95.799
262.083,96.237
262.709,97.749
263.301,99.803
263.871,100.698
264.444,101.782
265.033,102.438
265.613,103.491
266.169,104.300
266.745,105.500
267.361,106.525
267.930,107.876
268.483,109.445
269.000,110.450
269.526,112.125
270.053,114.634
270.563,116.441
271.076,117.374
271.579,117.542
272.079,118.802
272.573,120.167
273.086,121.343
273.596,122.414
274.096,123.435
274.579,123.846
275.050,124.188
275.513,124.733
275.983,125.956
276.447,126.620
276.930,127.394
277.401,127.962
277.871,128.386
278.331,128.302
278.811,128.468
279.278,128.553
279.738,128.953
280.192,129.203
280.659,129.626
281.123,129.978
281.583,130.910
282.050,131.613
282.510,132.433
282.964,133.081
283.411,134.069
283.854,135.172
284.295,136.191
284.725,137.582
285.156,138.909
285.586,140.063
286.010,141.463
286.434,142.085
286.851,143.108
287.265,143.670
287.679,144.232
288.093,144.507
288.503,144.723
288.924,144.984
289.328,144.984
289.738,144.897
290.149,144.892
290.570,144.517
290.977,144.234
291.391,143.854
291.815,143.669
292.235,142.819
292.662,142.412
293.086,142.515
293.510,142.300
293.937,142.921
294.371,143.401
294.785,143.888
295.202,144.662
295.616,145.043
296.030,145.935
296.430,146.134
296.838,146.849
297.242,147.824
297.642,148.005
298.053,148.275
298.447,148.740
298.851,148.651
299.252,147.691
299.649,147.722
300.056,146.530
300.464,145.666
300.861,143.975
301.278,141.286
301.715,139.468
302.162,136.489
302.593,133.793
303.070,130.507
303.570,127.476
304.043,125.843
304.510,124.195
