Time (s),Average BPM
167.967,163.774
168.325,163.664
168.728,163.903
169.079,163.145
169.440,163.488
169.795,164.536
170.166,164.083
170.540,163.747
170.894,165.210
171.281,165.026
171.642,166.246
171.990,166.016
172.364,164.801
172.738,165.144
173.060,166.747
173.470,166.392
173.791,166.495
174.159,166.152
174.550,167.080
174.911,167.836
175.242,168.412
175.606,166.163
175.990,168.867
176.361,167.080
176.672,167.375
177.050,168.891
177.401,168.891
177.781,168.117
178.123,168.378
178.467,167.605
178.838,169.594
179.199,167.540
179.540,168.331
179.917,169.118
180.255,169.133
180.636,169.603
180.970,168.714
181.315,169.082
181.699,170.803
182.033,170.601
182.381,170.378
182.735,171.397
183.086,171.169
183.457,171.747
183.801,171.076
184.129,171.076
184.487,172.391
184.834,171.827
185.179,171.827
185.523,172.265
185.884,173.195
186.238,173.595
186.583,173.376
186.924,173.254
187.275,173.151
187.623,173.726
187.964,172.525
188.288,173.111
188.646,174.231
188.997,173.631
189.328,174.470
189.689,174.138
190.020,174.138
190.404,174.029
190.732,174.144
191.060,172.603
191.434,173.033
191.755,172.423
192.106,172.423
192.457,173.068
192.808,172.493
193.146,173.265
193.517,172.567
193.861,171.981
194.232,172.173
194.563,171.225
194.904,170.911
195.252,170.911
195.609,170.909
195.957,169.377
196.301,169.481
196.669,170.371
197.017,170.667
197.377,169.915
197.728,168.046
198.113,169.161
198.480,167.502
198.818,167.126
199.152,167.063
199.513,167.848
199.914,167.484
200.235,167.006
200.632,166.703
200.987,166.703
201.348,165.826
201.692,165.558
202.053,165.215
202.417,166.253
202.811,164.004
203.179,164.833
203.540,163.927
203.881,164.805
204.252,163.737
204.619,163.176
205.000,163.411
205.371,163.819
205.752,162.412
206.089,162.531
206.464,160.810
206.841,160.486
207.199,160.716
207.579,159.746
207.993,159.215
208.351,159.110
208.742,157.461
209.123,157.039
209.483,156.933
209.897,155.740
210.285,155.635
210.669,156.297
211.053,155.511
211.440,155.412
211.821,155.205
212.215,154.330
212.599,155.196
212.990,154.707
213.371,154.918
213.765,153.792
214.152,154.213
214.540,153.905
214.924,154.527
215.328,154.031
215.705,153.834
216.129,153.526
216.503,153.829
216.894,153.247
217.268,153.146
217.669,152.555
218.066,152.746
218.457,151.851
218.841,152.675
219.248,151.581
219.639,151.100
220.043,150.098
220.440,150.098
220.848,149.907
221.242,149.070
221.652,148.767
222.060,148.497
222.467,147.747
222.868,147.938
223.272,147.938
223.692,148.726
224.086,147.988
224.503,147.988
224.921,147.897
225.318,147.990
225.715,147.895
226.096,147.895
226.517,148.252
226.927,148.155
227.338,148.333
227.742,148.603
228.146,148.507
228.550,148.224
228.957,147.165
229.354,147.615
229.765,147.707
230.172,147.271
230.573,146.735
230.980,146.286
231.397,146.101
231.801,146.000
232.209,145.122
232.636,144.650
233.060,144.263
233.480,143.550
233.891,142.941
234.318,142.644
234.745,142.536
235.166,142.636
235.579,143.269
236.020,143.801
236.430,144.001
236.841,144.376
237.265,144.947
237.669,145.234
238.086,145.044
238.490,145.312
238.894,145.721
239.308,145.812
239.715,145.812
240.126,145.898
240.546,145.714
240.950,145.802
241.374,145.182
241.781,144.904
242.192,144.093
242.613,143.896
243.023,143.158
243.437,143.065
243.864,142.866
244.308,141.885
244.722,140.986
245.159,139.952
245.583,138.961
245.993,138.552
246.437,138.357
246.877,138.833
247.334,138.230
247.778,139.143
248.205,138.945
248.639,138.430
249.066,138.808
249.500,138.902
249.907,139.936
250.338,140.821
250.765,140.345
251.195,140.741
251.632,140.643
252.053,141.246
252.467,140.824
252.911,141.331
253.331,142.205
253.762,142.205
254.175,142.653
254.596,142.845
255.010,142.653
255.424,143.129
255.831,142.638
256.262,142.541
256.682,141.842
257.096,141.446
257.523,140.561
257.960,139.769
258.394,138.578
258.831,138.481
259.265,138.182
259.709,137.297
260.149,137.397
260.596,137.030
261.030,137.529
261.460,137.251
261.904,137.648
262.328,138.639
262.778,139.123
263.195,140.205
263.642,140.704
264.063,141.003
264.474,141.003
264.897,142.252
265.308,143.072
265.725,142.768
266.146,143.335
